nes size p.value p.adj
ZNF135 -3.26738652528974 397 0.00108545371011588 0.00875063299636628
TSHZ3 3.2636257475181 424 0.00109996359666224 0.00877978754371976
ZNF273 -3.26065336076337 363 0.0011115583823981 0.00877978754371976
MBD4 3.25990003486405 478 0.00111451487826196 0.00877978754371976
ZNF599 -3.25953229543277 277 0.00111596074445443 0.00877978754371976
ZNF319 3.25441153565792 353 0.00113627543336448 0.00883890111615031
PBX4 3.25422789947735 216 0.00113701025077584 0.00883890111615031
ZNF701 -3.25243126261439 173 0.00114422267439487 0.00884233617017577
ZNF823 -3.24862615300862 480 0.00115963775135367 0.00887605717532732
ELF2 -3.24577618414662 276 0.00117130887247578 0.00887605717532732
ZNF350 -3.24538572987553 266 0.00117291627846467 0.00887605717532732
ZNF287 -3.24469332897252 385 0.00117577173915132 0.00887605717532732
PURB 3.24124808104192 349 0.00119007567890335 0.00890629877264458
TEAD2 3.23728748522996 449 0.00120671779700255 0.00890629877264458
FOXL2 3.23680623444505 282 0.00120875455854849 0.00890629877264458
ZBTB7C -3.23558450651638 450 0.00121393945810311 0.00890629877264458
ZNF14 -3.23371235229121 174 0.00122192457832313 0.00890629877264458
ZNF347 -3.23173726295327 204 0.00123040130400868 0.00890629877264458
RFX7 3.22980153240857 487 0.00123876177485681 0.00890629877264458
ZNF880 -3.22972843284234 238 0.00123907851935194 0.00890629877264458
SP5 -3.22925000348445 430 0.00124115342773454 0.00890629877264458
ZNF502 -3.22228246831102 317 0.00127173692553087 0.00904914753608152
ZNF799 -3.22071977978726 305 0.00127869107053302 0.00904914753608152
GLI3 3.21705353523111 344 0.00129514429326287 0.00904914753608152
E2F7 3.21553825716949 557 0.0013020013899967 0.00904914753608152
NFKB2 3.21506490190504 759 0.00130415032593034 0.00904914753608152
TP63 3.21191809824145 387 0.00131851958577277 0.00904914753608152
ZNF415 -3.20635133797318 237 0.00134429745542376 0.00904914753608152
ZNF563 -3.2034885054953 195 0.00135773459860697 0.00904914753608152
DEAF1 -3.2030220539555 327 0.00135993566215016 0.00904914753608152
HOXD8 3.2021166727523 267 0.00136421731782191 0.00904914753608152
ZBTB47 -3.19976634902199 541 0.00137539038149806 0.00904914753608152
SIM2 -3.19938298257259 735 0.00137722082996658 0.00904914753608152
ZNF432 -3.19909090288325 387 0.00137861692188467 0.00904914753608152
ZNF423 -3.19872531220529 479 0.00138036622327002 0.00904914753608152
ZNF175 -3.19723986295281 312 0.00138749497191114 0.00904914753608152
DMBX1 3.19687723346489 342 0.0013892403978835 0.00904914753608152
